html_file,line,url
"public/posts/2007-12-21-leathercowboy/index.html",40,"http://1.bp.blogspot.com/_sGQKwIeTodY/R0-WrGv_r9I/AAAAAAAACTg/SkIZHMYmWME/s1600-R/Cowboy[2].jpg"
"public/posts/2008-03-27-botas-militares-y-algo-ms/index.html",40,"http://2.bp.blogspot.com/_sGQKwIeTodY/R0-WxWv_r-I/AAAAAAAACTo/zVh6qUYYaLg/s1600-R/tolcb-Boothugs0817-skins.jpg"
"public/posts/2008-10-28-sin-palabras-i/index.html",42,"http://4.bp.blogspot.com/_sGQKwIeTodY/R0-WW2v_r7I/AAAAAAAACTM/C8PshLZ0L2s/s1600-R/8203.jpg"
"public/posts/2015-10-31-fdd-efectos/index.html",40,"https://lh3.googleusercontent.com/-mj9nf374I_k/VZrsezuHm7I/AAAAAAAAB5U/oKO713wjyzc/s640-Ic42/2015_10_31.jpg"
"public/posts/2016-10-22-fdd-ocurre/index.html",42,"https://lh3.googleusercontent.com/TXfh60fB1ZFjBOAy9xmHWVzMiyCg-8p7u27OTEE8LG91LbWzw5Ee8-CbKzFFI4yUlAAyHGCje999UBZIUSVQG4oKqZHeX-Ct7bPCYcm8dtN45uPGro4Dv1yj8LOrI_rdo7zZOyaI1XHBcF3srRq9acH0gvQaZDFOESX4hjuJnKZ46CF_Dtf7Hn4BUFHibWZ4S4NkkibnOf2VXK7XKmBfBsf33yCM9JnbqjEsVsQL-2dl6kNYuIPJAxi1BJwLwx4E_woq70FF7NnH_sSuIhMXEJkACqEAFV2jgWqgQ_KXxHDrn6F10zN5zhC9IkgD5TwZ35PmIG4O2RbvQ4PeplnZsJwH1EFYn3YXYQC_Ytq3zjPQynjVXNxp7eB5LcrSDKJj2xqWveoDiNS_1CgOm2uS8t0L9uGCp7EDBlae7dvK4QxUdwVXPy9iNFnZAVkFEMLoWpB0EOiyF8f0dSrzp5n6tZKHlurkY7E1hhzmSIgDmTG1JX2YnoRjV9VRBuZ_GhZA-Bus1VnWDA1uZMk3BvRjgwhllPefKyCyYQYFmJs7JQ8Vl_PxOtggqT9ceVaP3SlYha1OrhY5vuIx4gSLaSUG4WHqz35Rj6tndOCgVT32NSifzznlM9j2=w386-h934-no"
"public/posts/2017-05-11-215365/index.html",42,"https://lh3.googleusercontent.com/7ZYr5pGlti4TkGjhHqPVn88Lmz-63lOaqg9mXMhaaG88Jnjegkf5FFermYIj0oeTpSSRqOZheCOkCn_KSaCJ2jNZVy53WQCvE_ztsbGr3lfQBA-eU1tFR9_Gz-L99X698_pfgH5ZYRkpktxryfbUTtXFR8LBLC_WWQNW5Gan9eZYFG8foQ0t3tioZ-xOMzFru92nZ-b3ti0pModqxUjBNMNwF1Q8ztkA5BF59wVQMAxlzIxnuglN2GcdYVBkKA_DI8vJDdpm_FSxgU240U1auQi2OVDlh_ICE4xo3XU2lPv0oLyi6MfEe6fBgYO8KLmmut0WZevK3mU65JY0ZKBaj_JzhKDbdRfTxmXVwIc01TR5jOWwew_oksPbXjmIBXo7nDLN2ol7TO5_-MIWtCD-7DpaMSBugZNsm7EIWZZK296PhhQvqIsIxvQRwn4vBmYvpxa1f1aD5Iu3I_R_6UUcUtb2fnl4629axXSxLEKE-pWup1rxGANmn9-hesai-tvYsxKvoy0lCshaNOP6q7hBjE2HtNnn9WMnxuSaV3DoZ-g45VHl_F0n--n95faXG5VD8cS3z1X8BSFYlCTpw5Pdw4qVKgJ3ino9t-Qs2HjPBD6U8Z24FVXu=w701-h934-no"
"public/posts/2017-09-05-332365/index.html",42,"https://lh3.googleusercontent.com/cgkMkYl3pAJA7HvLFbxSxPMR13BKCO6Iyp646fSKEgqZJ8dFaCw20Mw9GtwkE3AlSa_jf8w1skSTX4eNv8JTrWVlPYioRM5pj3nSko4AhGkC-ninVWX8SmYzB2T-1DX1C6soWvVqF10gEtHx_DeFNaB90faxfbN1lkqJ9D6m4SdX4q7Uf6goJAYe6aVCh7raV6TL3nMGQ3_dd6AQVlguR8TYpQBAD9tboofA2co9gkOoJzFZKcy0I8oLIA0Fj6VLgTjkTiPKayEOou-ISc0d3W4-iYo3CCb1ILwxdJDjJggALNN6t_qZKDzrdvwMNoXVbcaqGNa-53Fy0aelJZ-jt9kbCK35cUqtjvovgZmUjI28GIBUJacMg3OKOwlvUpWTIsqXbOemGl_5JywZEYtz9DniYUK4DM70PLmGlNsfzUHSsb2Xp4C5_8lHjDYAr5GalHnO0YZAR3nhxxYTeGV4WlAOdR_wr_cG4JjBg2gt8kVw3QBSdlPIuqIT3e0QcLp0gptjpx3mKJDmauWC2nwyWDVYIT6fF0N1JIWIunArhsN3QCuSoaKHj5fsO7A44LvpCV4jK3cERpQGXfWhnkoekTzr0mFzMc7hQPwq7cwrgA=w701-h934-no"
"public/posts/2019-02-28-fdd-humillacion-la-leccion/index.html",48,"https://1.bp.blogspot.com/A-eYLu081B-ibEor2rIuebaxGMjdSYXukbIbVAcShcPrskbWHmEXfMqpewqwDsC2m9_ZlxbzWnh6v6IlraE2siErxX0QHx_vLa3egY8UjUsg2P2-h8zQXt_P7Fvra9Z8TtOcRRTlbVJ6c1np9HtI08fZ5A28VHMmzqDg9HS7J_96-e7XdftnLCmg_WHPx1jItpBbMyv8UK5xQsXNssM2Ewe_2dVop1xYashdXFIKKPkzd8MZZpqYaHI2KdGW9L_-HLTJ-y_b1hxy7zvYCJVqP2aKYwLQ2fp865KmDORW2C4mD7RS2_dyprDz1UaC_Qax7UtG4WkwqyXB4_QHnApPTJ6C5MHeKeITxP5afWrMmLe2Q9aGkZu_XJnqybgxScsX51WaKxxqiZc7wG6xPZQhubdvFkMOdlr3wdPg2uTncyAkX5X7sKcq-YVnOj9HlE6VuPA1VQinnsRQFltv8wWbO10bANSHBuIVhuwSTpwaBGYA5BOBckCisK3zRs68nHG7Gdg_ZGL7YMmScbdTvzG4y4_1EvuBKv5r5ETDxO0Cm-zLm7WhJQib-eeyhQM8aNy1YS7zgxQvZezJuFKinWqgQels-ibXxibSyJaZ5nGDFqyx_n4qQtyIgCrJs8PE8xhsC71L71WSJH-P4vNY96y9BeGfH4f9de5zXHxM4DoR1PTV5TXQ2-qzDg=w525-h589-no"
"public/posts/2019-03-08-fdd-niveles/index.html",42,"https://lh3.googleusercontent.com/VRUT76qqbV6QRzPbAdVITgBE151k1awFQF5BhwuTup6jcl_TTMb9CDZCPuocoisS1Ffkv9zTTl0oA6HzZIpLeaqtJoL45hLW6tgDm0rUt1TEXeOmtxD1ESAGALYSBw6-nmGQw9JI3OB7wzmqkr4dg1BQuwciBdytdY_erijCJJtw376WI5mXzP2tCaXKlXFAPzpKsLbKdqJByaF3jA1Np4I137C1CF63jlzT8V_Ily0qwTGSw9ZRptFfibY1mq5D2BLIIzg6o4smdOolI4MUWA9382hYILEtG8n1n6rU41vtUiPGMgYj16KERAWAHZyNOVHfD3wRU06mQESvwHV84bQc7mNC71p9jww_JVFTMLT5rzYBrpMuJ77J6-gq0zq_prW8zayZL-Lvdh7cVBaGelx1sVPI1lMgCEdnuUN8_jgDBLbi9SrfA6U6Dilv0tQZvp8tKDUWIHlcLpJ5K5l1iqgmB0yBYqQNv4c4KMCM_UpeVFvZk5odqsEUOxNeVwwPJcfZ9tdM3Sy78SvPz0mElEvj2SoiqivltolGWUHdYg-qkSwlh1tzGte7jP5X1gcLoWeido1d0BvsyeEns8YcFEY8Q9-mOZWnZL_29C0QMMfsE0WS-oZwJjxqsjNvZlw7ySBMv3S0zEdzBsAWzpD8MuL3HI7qkcA=w1200-h900-no"
"public/posts/2020-04-21-fdd-reducir/index.html",43,"https://1.bp.blogspot.com/DvhMdChGHoPqI5bN_1o76yX9r7Rxb0hqvpIGPnBT9IOXVXGxeKdvb8r4hhKOy2J8NX6X53m9DONCqE3tj7jIrc0Sfeus_mcINID7JD7G5qm27wgmyPDQgErW3QMs_4DHR0sdVTcKvC73hOH77agf0SE2uXwSxvOT1W1i5bHtK8N12khXWOxhvM1J1TBEDheqDfvKjKmhfDTl0KMzPwHfBpYacH6OwgjqDe7hS0keJmMT9ZD36KCRlaLDDLMMDKhZnNKzwf4ctCt5pH1cyHVexGbJy-IEJRPMst8rpTXKh730U7cvzTqyrI_doWnSc1kKZMWvs8BWtuzp3i3U2DdLnnU-tRKMOz-laY_N_YyNkp8dPXEYHoNkQQsUSQfnLEaMyES2qHjTOSeyrbXu_I-NCvHMZHl0oeemUhL1vmzhL_WQ2iK0w0h1yR6Gc1utt0MiGCP3X8aJ85scKD4e0LOAYkMWO1NWx_RlYjPTYDB82Er9tN3GDz0KhSxNWlPROlco7sD9uNMvU8OtfHreFkbyssyt30dLBYMuJb7DIwunxuP1HtcdR_zO9jJoB_NRvnjeE1TeQQyL35D6f-_9JB1GZHJFNoRjp4LuGD9CNCDGjArN875nF-bHZ_vWJL4jBAsGqTTg4hfkks1uzt73zAsmbEpKw8vBMD03FjCGM-o2aOFYVMdx0MKAlwTdRjnc5Q=w737-h921-no"
